MONTH,DAY,YEAR,HH,MM,SS,mmm,CH1,CH2,CH3,CH4,CH5,CH6,LUX
08,23,2016,23,06,03,122,1,0,0,0,0,0,0.0
08,23,2016,23,06,04,124,1,0,0,0,0,0,0.0
08,23,2016,23,06,05,124,1,0,0,0,0,0,0.0
08,23,2016,23,06,06,122,1,0,0,0,0,0,0.0
08,23,2016,23,06,07,122,1,0,0,0,0,0,0.0
08,23,2016,23,06,08,121,1,0,0,0,0,0,0.0
08,23,2016,23,06,09,123,1,0,0,0,0,0,0.0
08,23,2016,23,06,10,119,1,0,0,0,0,0,0.0
08,23,2016,23,06,10,234,1,0,0,0,0,0,0.0
08,23,2016,23,06,11,117,1,0,0,0,0,0,0.0
08,23,2016,23,06,12,119,1,0,0,0,0,0,0.0
08,23,2016,23,06,13,120,1,0,0,0,0,0,0.0
08,23,2016,23,06,13,176,1,0,0,0,0,0,0.0
08,23,2016,23,06,14,118,1,0,0,0,0,0,0.0
08,23,2016,23,06,15,186,1,0,0,0,0,0,0.0
08,23,2016,23,06,16,124,1,0,0,0,0,0,0.0
08,23,2016,23,06,16,184,1,0,0,0,0,0,0.0
08,23,2016,23,06,16,309,1,0,0,0,0,0,0.0
08,23,2016,23,06,17,189,1,0,0,0,0,0,0.0
08,23,2016,23,06,17,366,1,0,0,0,0,0,0.0
08,23,2016,23,06,18,189,1,0,0,0,0,0,0.0
08,23,2016,23,06,18,310,1,0,0,0,0,0,0.0
08,23,2016,23,06,22,125,1,0,0,0,0,0,0.0
08,23,2016,23,06,23,128,1,0,0,0,0,0,0.0
08,23,2016,23,06,24,128,1,0,0,0,0,0,0.0
08,23,2016,23,06,25,130,1,0,0,0,0,0,0.0
08,23,2016,23,06,26,131,1,0,0,0,0,0,0.0
08,23,2016,23,06,27,133,1,0,0,0,0,0,0.0
08,23,2016,23,06,28,132,1,0,0,0,0,0,0.0
08,23,2016,23,06,29,133,1,0,0,0,0,0,0.0
08,23,2016,23,06,30,132,1,0,0,0,0,0,0.0
08,23,2016,23,06,31,128,1,0,0,0,0,0,0.0
08,23,2016,23,06,32,130,1,0,0,0,0,0,0.0
08,23,2016,23,06,33,128,1,0,0,0,0,0,0.0
08,23,2016,23,06,34,129,1,0,0,0,0,0,0.0
08,23,2016,23,06,35,129,1,0,0,0,0,0,0.0
08,23,2016,23,06,36,130,1,0,0,0,0,0,0.0
08,23,2016,23,06,37,126,1,0,0,0,0,0,0.0
08,23,2016,23,06,40,184,1,0,0,0,0,0,0.0
08,23,2016,23,06,42,127,1,0,0,0,0,0,0.0
08,23,2016,23,06,43,131,1,0,0,0,0,0,0.0
08,23,2016,23,06,44,132,1,0,0,0,0,0,0.0
08,23,2016,23,06,45,136,1,0,0,0,0,0,0.0
08,23,2016,23,06,46,136,1,0,0,0,0,0,0.0
08,23,2016,23,06,47,140,1,0,0,0,0,0,0.0
08,23,2016,23,06,48,142,1,0,0,0,0,0,0.0
08,23,2016,23,06,49,145,1,0,0,0,0,0,0.0
08,23,2016,23,06,50,145,1,0,0,0,0,0,0.0
08,23,2016,23,06,51,149,1,0,0,0,0,0,0.0
08,23,2016,23,06,52,147,1,0,0,0,0,0,0.0
08,23,2016,23,06,53,150,1,0,0,0,0,0,0.0
08,23,2016,23,06,54,148,1,0,0,0,0,0,0.0
08,23,2016,23,06,55,148,1,0,0,0,0,0,0.0
08,23,2016,23,06,56,148,1,0,0,0,0,0,0.0
